Quarter (of Fiscal Year),Veteran One-Stop Demographics: Total Veterans who received staff assisted services,Veteran One-Stop Demographics: Total Veterans who received intensive services,Veteran Entered Employment Actuals: All Veterans Numerator ,Veteran Entered Employment Actuals: LX all veterans denominator (# of exiters),Veteran Entered Employment Actuals: DVOP following S-A services Numerator ,Veteran Entered Employment Actuals: DVOP Denominator (# of Exiters),Veteran Entered Employment Actuals: LVER following S-A services Numerator ,Veteran Entered Employment Actuals: LVER Denominator (# of Exiters),Entered Employment Rate %: All Veterans,Entered Employment Rate %: DVOP following S-A services,Entered Employment Rate %: LVER following S-A services ,Veteran Employment Retention Actuals: All Veterans Numerator ,Veteran Employment Retention Actuals: LX all veterans denominator (# of exiters),Veteran Employment Retention Actuals: DVOP  Numerator ,Veteran Employment Retention Actuals: DVOP Denominator (# of Exiters),Veteran Employment Retention Actuals: LVER Numerator ,Veteran Employment Retention Actuals: LVER Denominator (# of Exiters),Veterans Employment Retention Rate %: All Veterans ,Veterans Employment Retention Rate %: DVOP ,Veterans Employment Retention Rate %: LVER ,Average Six Month Earnings: All Veterans,Average Six Month Earnings: DVOP ,Average Six Month Earnings: LVER ,S2C Veterans Training Counts: Veterans Active in a training for the end date of quater,S2C Veterans Training Counts: Number of veterans in new skill trainings,S2C Veterans Training Counts: Number of veterans active in skills development training programs,S2C Veterans Training Counts: Number of veterans completing skills development training programs,Veterans Quarterly Performance: DVOP- Disabled Veterans EER,Veterans Quarterly Performance: DVOP- Disabled Veterans ERR,Veterans Quarterly Performance: DVOP- Disabled Veterans Avg Earnings,Veterans Quarterly Performance: LVER- Recently Separated Veterans EER,Veterans Quarterly Performance: LVER- Recently Separated Veterans ERR,Veterans Quarterly Performance: DVOP/LVER Veterans EER Weighted,Veterans Quarterly Performance: DVOP/LVER Veterans ERR,Veterans Quarterly Performance: DVOP/LVER Veterans Average Earnings,Veterans Quarterly Performance: Disabled Veterans EER,Veterans Quarterly Performance: Disabled Veterans ERR,Veterans Quarterly Performance: Disabled Veterans Average Earnings,Veterans Quarterly Performance: DVOP-Veterans EER Weighted,Veterans Quarterly Performance: DVOP- Veterans ERR,Veterans Quarterly Performance: DVOP- Veterans Average Earnings,Veterans Quarterly Performance: Intensive Services Provided to Ind by DVOP Specialist/Total Veterans and Elig Persons Served by DVOP Specialist
Q2-11,12601,1370,5487,11620,1804,3657,916,1788,47%,49%,51%,5706,7297,1768,2284,882,1159,78%,77%,76%,$19919.00,$21266.00,$21543.00,,,,,,,,,,,,,,,,,,,
Q3-11,13552,1528,5308,11235,1692,3458,873,1718,47%,49%,51%,5755,7259,1709,2173,851,1108,79%,79%,77%,$20423.00,$21781.00,$22522.00,,,,,,,,,,,,,,,,,,,
Q4-11,12249,1181,5317,11030,1817,3611,825,1632,48%,50%,51%,5541,7004,354,673,768,1025,79%,53%,75%,$22557.00,$24135.00,$27336.00,,,,,,,,,,,,,,,,,,,
Q1-12,12620,1302,5327,10620,1968,3721,796,1512,50%,53%,53%,5590,6907,1806,2194,872,1089,81%,82%,80%,$22805.00,$23604.00,$26872.00,,,,,,,,,,,,,,,,,,,
Q2-12,11787,1275,5264,10319,2163,4006,845,1561,51%,54%,54%,5538,6868,1874,2302,823,1021,81%,81%,81%,$20668.00,$20849.00,$23780.00,,,,,,,,,,,,,,,,,,,
Q3-12,9885,1536,5427,10791,2077,3887,886,1630,50%,53%,54%,5609,6927,1600,1956,664,836,81%,82%,79%,$20632.00,$20417.00,$21255.00,,,,,,,,,,,,,,,,,,,
Q4-12,9658,1871,5822,10958,2083,3795,876,1533,53%,55%,57%,5942,7259,1906,2314,685,837,82%,82%,82%,$20580.00,$20442.00,$20463.00,119,110,227,93,,,,,,,,,,,,,,,
Q1 13,12373,1735,6051,11344,2090,3820,1080,1894,53%,55%,57%,6246,7519,2225,2680,1042,1260,83%,83%,83%,$20943.00,$20771.00,$21357.00,154,66,199,53,48%,82%,,64%,85%,58%,83%,$20944.00,48%,83%,$24151.00,,,,
Q2-13,12260,2283,5773,11047,1956,3606,1182,2162,52%,54%,55%,5964,7178,2304,2778,1262,1516,83%,83%,83%,$20754.00,$20950.00,$21636.00,128,53,174,41,47%,81%,,58%,86%,57%,83%,$21024.00,46%,81%,$23223.00,,,,
Q3-13,11275,2343,5587,10380,1811,3254,1051,1875,54%,56%,56%,5798,6935,2234,2667,1287,1533,84%,84%,84%,$20360.00,$20358.00,$21456.00,185,111,219,25,48%,84%,,63%,85%,58%,84%,$20619.00,49%,84%,$23343.00,,,,
