cartodb_id,the_geom,state_name,state_fips,name,county_st,n_va
1,0106000020E6100000010000000103000000010000002700000022EAE3DA85B455C03D6D18A4742C4040BC28231B20B455C008A3BA9F692F40406C359C2020B655C09EE3993886344040F4DFD5FF35B555C0BC7F8D543937404017DB72844AB755C0EECE0771B63940407EC51CE555B755C00BB1E64E3B3B404042130F4871B855C019AD4ACBBB3D4040B92DDF0870B855C07BDDF2E71F4040405030DC8C07BA55C0F4467720FB444040C9E98FEDB9B955C05E9E50D7BD4A4040F48BD77064BA55C08370022736554040C7AFC29886AD55C0326726A61155404068100B1A87AD55C0B383FE9CE65A404073D66C377A9A55C053430BBBBB5A404032C5826CFC9955C03663ED3C41354040C6F8484E439B55C06197F07EEC334040923FF3910E9D55C0AFA5FABCA9344040E29CD171AE9D55C053AEEB2214314040B4F10094179F55C0D7CA6DA4FC2F4040604D8074E19F55C06AE148C9E02C40400F4702194AA255C0FCBC70093F2C4040C5BD04BA69A255C0D11029E5EF2E4040A4FC82BE76A455C002FC5B41CB3040408A6AD25F78A555C0B4FAF2A3FA2E404048046B432FA755C069BD3BE13B304040836E33857EA755C08690E39A463440405560F4886EA955C0C05C4F39C83440406A3833091EAA55C0066A32BE6E31404022B087AC4AAC55C06CE94102552E40409A9D629039AE55C09AF588C0112F4040573343126AAE55C0E59C25992734404080FAAAD40AB055C00088E5DA7B32404025469FB801B255C06455A939743340406C3A89389FB255C043ECA97EFB2F4040ED6DECB58CB155C0607AF7E1A72D404005A3A0D5D5B155C02B64E305292B4040E7FB799726B355C047AD78285B294040E1CE731943B455C0128879C85929404022EAE3DA85B455C03D6D18A4742C4040,Alabama,01,Autauga,"Autauga, AL",6063
7,0106000020E61000000100000001030000000100000012000000085EFB63BE9C55C00E8A3FA9A2F83F400B71AEFFF49C55C0AAAB17E0DFDA3F40031A6DDE5E9C55C0CEAD72A0CFDA3F40CEED30DD529C55C026B0800BD9D43F40E3E87B9EE19C55C0D694102C53D43F40C19AE131C19C55C09115058011AB3F4043C10C5A23A055C015A92DE243AA3F40D339086B1DA055C0B9C96FCEAB873F4021969E5FFAAC55C0F0AFB1425E873F406715EC8DD7B555C0701628A23B883F407E44619394B755C05FD26B955B8E3F40B11FE8B9DEB855C0C44D88DEFE983F403095389D15BA55C0740F0399079C3F405620D84D93BA55C067E4B3E593C13F407434DBB066BA55C04661789649D73F402924639563BA55C0075F4E73D1F63F40DBD0409107B755C09609AA948EF73F40085EFB63BE9C55C00E8A3FA9A2F83F40,Alabama,01,Butler,"Butler, AL",1819
16,0106000020E6100000010000000103000000010000000B000000F9FB940FEA7255C024E5FECA7A343F402283A0A1F88B55C04E0DB2E2F5323F40C29CD733618C55C0ACE08F5017733F4038BB2ABB628C55C0A145B127018A3F40D5DC0755AC8955C075B7998B90893F40DA2762F6C88955C02A34AB66088C3F401867A0F4F48855C074C710C7488C3F40F2E3801C078955C0A72B1FBFED9F3F40FF43ED47068055C09CCF23AA65A13F407C5906709D7255C0273D47C28D9F3F40F9FB940FEA7255C024E5FECA7A343F40,Alabama,01,Coffee,"Coffee, AL",7431
23,0106000020E6100000010000000103000000010000000D000000F9FB940FEA7255C024E5FECA7A343F407C5906709D7255C0273D47C28D9F3F40F97C7E6B936F55C012978C4C51A03F40C48F2D59AC5A55C079CFC62C14A03F4095C9B96CA75A55C0BBC7EFF060553F40B9B755CBAA5A55C05DB6EB5E3A4C3F40BB549BADE45E55C0E7E4C815AC4B3F40E9FCE64BF75E55C0CA1C4CA306433F40AAC9B9CC3F6255C0244D1E1EBB433F400D76B8ADA76655C049EB5D94FA473F4019B9C1AD176A55C0CAED5F7349473F40F11F9EAA4C6D55C0B1C571D230343F40F9FB940FEA7255C024E5FECA7A343F40,Alabama,01,Dale,"Dale, AL",7301
26,0106000020E61000000100000001030000000100000036000000D5F77CB1757855C0CB9628152A40404002A62C4F6A7755C0F2EB6C79A33E40408A4A2FEF8A7855C00EA834E0F93A4040B80B1793307B55C0AAF1621EDA3A4040136245946F7C55C0866700A096394040AE60C817417E55C0B813C39BC03A4040C0B2C737BC7E55C0DAB946BE70394040417594F95D7F55C0FFDEE25AC33A404026E2EB182C8055C0936061C15E37404049689C3A348155C0D6C91823533640406B3698BC1C8255C0A79D0CA325364040B491133DBC8255C095A1F105AB3440400B9B4CFFAB8355C0D4D15B85C8344040DC2235832B8555C0DEDAC861463640402F7AE5E9128855C05254F23E17374040E982496A048855C030EDFD5C23384040078D8AEC488955C04BFD297E653740407031BA10D08A55C0520022BA2D394040F4A49611768B55C03CF10FBC1B38404097BA2DD31C8C55C0B0E212FB8D384040E0668313D48B55C0CE784897853A40406E40BF1F759055C038AE7D29444140405B9DE53FE29055C056363ACD213F4040C1083302959255C035ACBB2FC53D4040E5B0DBC32F9355C0E58870ADDA3E404007756F44B89355C008D0370E4D3E4040AA097184999455C09FBB4515533A4040F961EB20779355C02240DE1C2D364040EAF97221D29355C0562781BDC9354040F7DCD002639455C0526B6B7B0B374040211800E6EF9555C0868F9F19C63740400FA858C8579755C0D22270FA08374040E2F0B10B1B9955C088E6375999374040A31A274B3F9955C0C7E06C5CAE35404032C5826CFC9955C03663ED3C4135404073D66C377A9A55C053430BBBBB5A404092371939A59A55C086F81531756040404AC7D8F4039855C0DD75A58E03614040685D7970539555C070509A4D0A614040EDA14691879555C065F84FAA176340407FBAF1EE219455C01E26A7A9126340400CA9758E369455C0386ADE8DCD604040CD5CE2E7588055C0B0C24ED3916040402CED98275D8055C0CE23CE14D05F4040C9DB0E05D37E55C069491D75F35F40403F795B85C17E55C01C063DB276614040314E39E36B7D55C0EEC08CF2C961404044C875C2507D55C03E7AFFF4436040401C87A13AC87855C0A543C817FB5F404053770EDB6A7A55C05D053D08FC5640402EF75638427955C0F20F424E3A544040648B13F6467955C091A274FEB54B40405E68AA739C7855C000C07BE74A474040D5F77CB1757855C0CB9628152A404040,Alabama,01,Elmore,"Elmore, AL",9495
34,0106000020E6100000010000000103000000010000001300000095C9B96CA75A55C0BBC7EFF060553F40C48F2D59AC5A55C079CFC62C14A03F408C7629BDA65A55C07BD7309392B73F40FAE08848A14D55C00B24A9F38FB63F408AA09548334D55C0C404A7657FBF3F40CFD362E3704A55C00CE0B57623C73F405051637F6B4855C03D038712A8C83F401F3BFD9E544855C0D3D243F462C73F40E7E27FDC604755C0158C1DE847BB3F40EDF48F5C984755C02839BAF264B53F40E7A656FB1D4755C0089B507D2AAF3F409059B154CB4355C08ED5CC3B0B9F3F40A65854F2BB4255C07145D47DEC8D3F4044774A92BB4255C0C52CE46E08853F403CEDCE743E4455C05BE19801E1793F4025DDA514EE4355C00ABD9551CF703F401E8862D7A04555C002D7AD0F035E3F40B23A39B7484555C033B5BDDF13553F4095C9B96CA75A55C0BBC7EFF060553F40,Alabama,01,Henry,"Henry, AL",1706
41,0106000020E610000001000000010300000001000000210000001D802DB4624555C000760A3F2F4D404053657891874455C08364A886664A4040CE1F01C4B83F55C015B9683F6C4240404A00BD2DDC4355C05950D71A254240407C92622CD84355C0B0398A25B53D404052213974235555C0A387B3B2BE3C4040BCDAA8F1315555C08B707C0547354040DD6038FE8D5B55C0AC94A7BF81354040AD0B0003005C55C0604215E4AF404040B7B0C969615F55C0159B58E193404040C75FDD1E136B55C0AEBDF8C7F44A40403A240A61806C55C0385B29470D4B4040CC637961806C55C0844329A4824C40400C6778649B6C55C01CBD042A965940406EF918A3BB6B55C055D5190AA55940404C6B8503B86B55C0FB923986AF5B40401C44857B146755C034F166E87C5B40400D307A5BED6655C0D90CC404765D4040CE4FA679BC6555C04EDFFCC49C5D40409CFA2B4DC45E55C0BB62BE06695E4040577F6F66765B55C0B420CC09E25D40400B9571C6625B55C0F76D7EE6825F4040C4D72D043B5A55C0648607679A5F40406A20C4C2A45955C0DEE37B6AFC5D4040CD9D2812805155C0AF9420CF345E404037812D12705155C02C4C228D405F40406554451EFE4755C05982F6F2475F40401C8B479C494755C030E77B76005E4040BE50311AE54655C06614EF035158404036056257CA4555C0623DBF288C564040F35E46B8A44655C0278ED730AD524040EBA53C55864555C020B24917715040401D802DB4624555C000760A3F2F4D4040,Alabama,01,Lee,"Lee, AL",11346
47,0106000020E6100000010000000103000000010000000B000000D995F992C7FC55C00D9977EE68F64040C6FA989BD3FC55C0DD9A3A3E810341407F7F6FFFE1FE55C02C7F8BFFAC034140AD683AE217FF55C0B0E9EE5B94074140F4AF5821F80C56C07C28A1519107414087C16423C20C56C0345A7ACD930B414074A73F2DBA0A56C0DBB84AAA7D294140A0EF6A0E8FE855C06287CC11072841405B42BE52D0E855C0143BC0E5EF00414067B12668E2E855C0499CA91511F54040D995F992C7FC55C00D9977EE68F64040,Alabama,01,Marion,"Marion, AL",2285
56,0106000020E6100000010000000103000000010000000A000000FFFF44D11C6955C035000CD7ACBF40406AA27FD0855655C0D73F5525F4BF40406A0C2B90095655C0F7B7F3C3F7C04040C3E827CB845355C055FA03C9CBBE4040B0786907CE5255C0778F651883B64040DCA17056F74E55C0AE14EDD88A904040EC0C14B6F14E55C0BA8A66BA608F40405925A3E3106655C0C49B18CF9F8E404026C2B8EAA26955C0375A62ACFB8E4040FFFF44D11C6955C035000CD7ACBF4040,Alabama,01,Randolph,"Randolph, AL",1765
70,0106000020E610000001000000010300000001000000110000007A099A5CB88E62C0B886F7FFA6B64E40C0C00CB7268F62C0801F2567E16C4E40C81E048DDF9762C06B67F5724E6C4E4032D518B8DB9762C04E2D23C8EF5D4E409A34605C5FA162C01A63D6C30D5E4E40D89A5B0D00A162C09335653B766C4E402D2B54ADF7A062C00E0191DB706C4E40033F949140A562C0F1E013B5D9784E40C61DBC5450AB62C06B53A931B8764E40A9886DE21FC262C0790CEF68B2934E40AF1A99760BB662C0A5D856276BB24E405A614F81D4A762C0589EAD7FFFBE4E40BB384886C19462C0C96032EDA8B64E40D0B47886839362C01DED6E0EA4B64E4038DF57043C9262C0D95BDD92B1B64E407E3B37E3959162C0AC301535AFB64E407A099A5CB88E62C0B886F7FFA6B64E40,Alaska,02,Anchorage,"Anchorage Municipality, AK",30155
