Series ID,Year,Period,Label,Value
LNS11000000,2014,M01,2014 Jan,155285
LNS11000000,2014,M02,2014 Feb,155560
LNS11000000,2014,M03,2014 Mar,156187
LNS11000000,2014,M04,2014 Apr,155376
LNS11000000,2014,M05,2014 May,155511
LNS11000000,2014,M06,2014 Jun,155684
LNS11000000,2014,M07,2014 Jul,156090
LNS11000000,2014,M08,2014 Aug,156080
LNS11000000,2014,M09,2014 Sep,156129
LNS11000000,2014,M10,2014 Oct,156363
LNS11000000,2014,M11,2014 Nov,156442
LNS11000000,2014,M12,2014 Dec,156142
LNS11000000,2015,M01,2015 Jan,157025
LNS11000000,2015,M02,2015 Feb,156878
LNS11000000,2015,M03,2015 Mar,156890
LNS11000000,2015,M04,2015 Apr,157032
LNS11000000,2015,M05,2015 May,157367
LNS11000000,2015,M06,2015 Jun,156984
LNS11000000,2015,M07,2015 Jul,157115
LNS11000000,2015,M08,2015 Aug,157061
LNS11000000,2015,M09,2015 Sep,156867
LNS11000000,2015,M10,2015 Oct,157096
LNS11000000,2015,M11,2015 Nov,157367
LNS11000000,2015,M12,2015 Dec,157833
LNS11000000,2016,M01,2016 Jan,158335
